Series Name,Series Code
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG
"Manufacturing, value added (constant 2005 US$)",NV.IND.MANF.KD
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS
New businesses registered (number),IC.BUS.NREG
Number of visits or required meetings with tax officials,IC.TAX.METG
"Own-account workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.OWAC.FE.ZS
"Own-account workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.OWAC.MA.ZS
"Own-account workers, total (% of male employment) (modeled ILO estimate)",SL.EMP.OWAC.ZS
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD
Population ages 0-14 (% of total),SP.POP.0014.TO.ZS
"Population ages 0-14, total",SP.POP.0014.TO
Population ages 15-64 (% of total),SP.POP.1564.TO.ZS
"Population ages 15-64, total",SP.POP.1564.TO
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS
"Population ages 65 and above, total",SP.POP.65UP.TO
Population density (people per sq. km of land area),EN.POP.DNST
Population growth (annual %),SP.POP.GROW
"Population, total",SP.POP.TOTL
Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS
Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS
Rural population,SP.RUR.TOTL
Rural population (% of total population),SP.RUR.TOTL.ZS
"School enrollment, primary (% gross)",SE.PRM.ENRR
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE
"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA
"School enrollment, secondary (% gross)",SE.SEC.ENRR
"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA
"School enrollment, tertiary (% gross)",SE.TER.ENRR
"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE
"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA
"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS
"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS
"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS
Tax payments (number),IC.TAX.PAYM
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS
Telephone lines (per 100 people),IT.MLT.MAIN.P2
Time required to enforce a contract (days),IC.LGL.DURS
Time required to obtain an operating license (days),IC.FRM.DURS
Time required to register property (days),IC.PRP.DURS
Time required to start a business (days),IC.REG.DURS
Time to prepare and pay taxes (hours),IC.TAX.DURS
Time to resolve insolvency (years),IC.ISV.DURS
"Total employment, total (ages 15+)",SL.EMP.TOTL
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS
Urban population,SP.URB.TOTL
Urban population (% of total),SP.URB.TOTL.IN.ZS
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC
GINI index (World Bank estimate),SI.POV.GINI
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS
"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS
"Labor force with advanced education, male (% of male working-age population with advanced education)",SL.TLF.ADVN.MA.ZS
Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS
"Labor force with basic education, female (% of female working-age population with basic education)",SL.TLF.BASC.FE.ZS
"Labor force with basic education, male (% of male working-age population with basic education)",SL.TLF.BASC.MA.ZS
Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",SL.TLF.INTM.FE.ZS
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",SL.TLF.INTM.MA.ZS
Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS
"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS
"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS
Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS
Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6
Technicians in R&D (per million people),SP.POP.TECH.RD.P6
