Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050],2055 [YR2055],2060 [YR2060],2065 [YR2065],2070 [YR2070],2075 [YR2075],2080 [YR2080],2085 [YR2085],2090 [YR2090],2095 [YR2095],2100 [YR2100]
Pakistan,PAK,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9135943,8982285,7522515,..,8397869,7610816,7657486,7607285,..,8244086,8409718,7428900,6581788,..,6633175,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.89288,2.89331,2.97515,3.70838,3.15284,3.11435,3.17194,3.36464,3.60536,3.51721,3.80517,4.66376,3.63172,3.84262,3.76117,3.47465,3.99302,3.70359,4.44099,5.51837,5.10207,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,7.80612,..,..,..,..,..,..,..,..,..,..,39.26854,41.57857,45.18146,49.16129,50.67876,50.99882,52.75863,57.65923,73.06538,81.6585,85.3458,89.99286,90.3074,92.72258,93.69048,98.66744,..,..,98.94457,103.86898,101.20099,107.21635,106.78774,107.92284,109.15095,124.62976,127.24555,126.91349,141.29966,149.94553,156.02757,154.64813,151.26811,148.4647,148.56431,148.17456,145.2117,..,143.45337,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,0.18385,..,..,..,..,..,..,..,..,..,..,0.38656,0.4,0.40851,0.43358,0.44777,0.45202,0.46051,0.48802,0.55276,0.58648,0.62024,0.64777,0.65911,0.68092,0.69377,0.71288,..,..,0.7505,0.77323,0.824,0.84496,0.87155,0.87572,0.9129,0.96129,0.99924,1.02561,1.05202,1.07617,1.08158,1.08791,1.08203,1.07381,1.06181,1.05182,1.01812,..,1.01866,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,848644,849092,..,..,..,807830,..,..,..,..,..,..,..,..,..,..,1058356,882973,..,..,688699,677338,..,..,..,..,..,..,22049,2895,..,30866,49866,49332,101223,..,103384,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.51379,5.91573,..,..,6.60907,7.28715,..,..,4.91159,4.74174,4.12473,4.76523,..,5.72275,6.0449,7.5901,6.99333,7.22574,6.85084,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,2.01209,7.68054,7.55612,..,11.51703,..,15.77206,17.63909,17.74462,20.84781,..,..,33.97371,37.37241,39.68808,41.03084,38.4506,..,42.95695,..,..,38.38523,43.23899,48.04215,51.10796,54.90876,58.96104,62.63228,65.00314,67.50096,71.12827,74.34742,77.46347,81.74066,86.67045,89.8837,93.99925,97.57617,101.51905,106.11353,109.44818,111.66232,112.7385,107.47085,106.22304,104.80431,102.90592,101.26469,100.22383,..,106.63319,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,0.05401,0.2437,0.21982,..,0.31543,..,0.3741,0.38992,0.39128,0.41902,..,..,0.47062,0.48839,0.50427,0.53226,0.54819,..,0.60447,..,..,0.59847,0.74709,0.75924,0.77509,0.78395,0.80033,0.82018,0.83699,0.85595,0.87698,0.8977,0.91541,0.94491,0.97217,0.97482,0.98848,0.9932,1.01129,1.01815,1.02275,1.01408,1.01488,1.00978,1.01405,1.01085,1.00472,0.99865,1.00166,..,1.01541,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48225,48040,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50326,50025,47316,44522,..,..,..,32516,27775,..,20625,15353,12718,11078,8424,8830,..,9398,9687,9574,7456,..,3252,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,3.3164,..,2.74455,..,..,..,2.56743,2.70417,2.44221,2.5585,2.39061,2.16526,2.57614,2.80542,2.64433,2.82636,2.75516,2.41093,2.91558,..,..,3.10853,2.9576,3.3436,..,3.05142,..,..,..,..,..,..,..,..,..,..,2.0559,1.71774,1.80861,1.49617,1.62107,1.93288,2.22875,3.4492,2.79925,2.12421,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,96.49003,102.94816,..,..,..,79.06304,78.57155,83.27344,105.6303,..,116.22724,119.58255,119.80939,118.93133,118.71653,119.43796,121.01347,105.50741,107.0375,108.2132,107.94285,107.98252,106.08076,105.55213,105.06324,107.79348,103.73214,..,105.82817,..,..,106.93053,105.40116,102.49141,100.8334,99.28779,98.44568,97.69085,96.60648,94.04776,98.24813,97.51822,98.76951,99.42777,100.18917,100.57343,100.37505,99.90265,99.61806,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,0.91001,0.9964,..,..,..,0.91911,0.92276,0.9234,0.923,..,0.95235,0.95858,0.96326,0.96243,0.96393,0.96406,0.96538,0.96314,0.96533,0.96777,0.96645,0.96631,0.96728,0.97187,0.97095,0.9707,0.9755,..,0.97884,..,..,0.98435,0.98811,0.99447,1.06619,0.99453,0.99092,0.98807,0.98646,0.98221,0.97522,0.96063,0.97666,0.97622,0.97728,0.97894,0.97871,0.98571,0.9893,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sri Lanka,LKA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,380024,..,..,..,..,..,..,..,..,34045,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1967,1255,6193,51040,45427,54462,61528,76994,115909,89067,87520,83509,61328,45261,16394,16400,12419,9296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Education Statistics - All Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 06/25/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
